timestamp,step,action,position,prev_position,hedge_adjustment,stock_price_prev,stock_price_now,option_price_prev,option_price_now,ttm,moneyness,realized_vol,reward,step_pnl,option_component,hedge_component,transaction_component,risk_aversion_xi,cumulative_reward,discounted_cumulative_reward,time_elapsed_years,financial_discount_factor,discounted_reward,cumulative_pnl,option_pnl,hedge_pnl,trade_cost,total_pnl,cash_account_prev,cash_account,portfolio_value,prev_portfolio_value,daily_return,daily_return_pct,cumulative_return,cumulative_return_pct,discount_factor,q1_value,q2_value,q_mean_value,action_raw,state
2004-01-05,1,1.0,1000.0,0.0,0.8910908967102517,1108.47998046875,1122.219970703125,8.792711336622006,7.034169069297604,0.08236134847478832,0.990203141407898,0.2,-0.09922387231000238,-0.09824145773267562,0.0017585422673244012,0.0,0.10000000000000002,0.01,-0.09922387231000238,-0.09922387231000238,0.0,1.0,-0.09922387231000238,1758.542267324401,1758.542267324401,0.0,100.0,-1100.0,0.0,-1100.0,1121119.970703125,0.0,0.0,0.0,-0.0009801999863813249,-0.09801999863813249,1.0,-6.493642807006836,-7.084066867828369,-6.7888548374176025,1.0,"[  9.09417    178.81006      0.25303605  -1.9396758    0.5969392
   0.        ]"
2004-01-06,2,1.0,1000.0,1000.0,0.0,1122.219970703125,1123.6700439453125,7.034169069297604,5.6273352554380835,0.08309408711162804,0.9871377565291918,0.12378716725082023,0.0026719910707405366,0.0026989808795358956,0.001406833813859521,0.0012921470656763745,0.0,0.01,-0.09655188123926184,-0.0965520261017094,0.0027378507871321013,0.9999457848309653,0.0026718462082929773,2856.907056047021,1406.833813859521,1450.0732421875,0.0,350.0136022681736,-1100.0,-1100.0596399193264,1122569.9843053932,1121119.970703125,0.001293361674182638,0.1293361674182638,0.0003118939347059868,0.03118939347059868,1.0000542181084786,-6.443852424621582,-7.11311674118042,-6.778484582901001,1.0,[  6.5366178 179.06429     0.9792085  -2.5497375  -1.4100621   1.       ]
2004-01-07,3,1.0,1000.0,1000.0,0.0,1123.6700439453125,1126.3299560546875,5.6273352554380835,6.7528023065257,0.08220388104378368,0.9965940954025836,0.0965309198504169,0.001229280713744356,0.0012416976906508648,-0.0011254670510876163,0.002367164741738481,0.0,0.01,-0.09532260052551748,-0.09532287867567521,0.0054757015742642025,0.9998915726012151,0.0012291474260341883,1534.4450582873837,-1125.4670510876163,2659.912109375,0.0,1559.7928263027836,-1100.0596399193264,-1100.1192830722164,1125229.8367716153,1122569.9843053932,0.0023694313079891892,0.23694313079891893,0.0026820642539489015,0.26820642539489015,1.0000542181084786,-6.45743465423584,-7.125380039215088,-6.791407346725464,1.0,"[ 8.5826588e+00  1.7953062e+02  9.6979722e-02 -6.6777194e-01
 -2.1278327e+00  1.0000000e+00]"
2004-01-08,4,1.0,1000.0,1000.0,0.0,1126.3299560546875,1131.9200439453125,6.7528023065257,8.10336276783084,0.08253636987762006,0.9984889594558947,0.07887308460267294,0.003576413867076762,0.003612539259673497,-0.0013505604613051397,0.0049630997209786365,0.0,0.01,-0.09174618665844073,-0.09174704646470976,0.008213552361396304,0.9998373633105901,0.003575832210965461,4239.52742931986,-1350.5604613051396,5590.087890625,0.0,4489.908961166155,-1100.1192830722164,-1100.1789294588455,1130819.8650158537,1125229.8367716153,0.004967899056317806,0.4967899056317806,0.00766328753474288,0.766328753474288,1.0000542181084786,-6.508615016937256,-7.138695240020752,-6.823655128479004,1.0,"[ 11.0379095  180.5107       0.42648908  -0.29066315  -2.5928369
   1.        ]"
2004-01-09,5,1.0,1000.0,1000.0,0.0,1131.9200439453125,1121.8599853515625,8.10336276783084,6.482690214264672,0.08227520607963854,0.9916025005605547,0.12152950200457795,-0.007339602084610517,-0.007266932757040116,0.0016206725535661678,-0.008887605310606284,0.0,0.01,-0.09908578874305124,-0.09908505700768401,0.010951403148528405,0.9997831569589309,-0.007338010542974253,-8439.386040183832,1620.6725535661678,-10060.05859375,0.0,-11160.297172829389,-1100.1789294588455,-1100.2385790793887,1120759.7467724832,1130819.8650158537,-0.008896304844476179,-0.8896304844476179,-0.0013011922517534025,-0.13011922517534025,1.0000542181084786,-6.455329418182373,-7.0960588455200195,-6.775694131851196,1.0,"[ 8.0916090e+00  1.7874695e+02  1.6766560e-01 -1.6611806e+00
 -1.4695158e+00  1.0000000e+00]"
2004-01-12,6,1.0,1000.0,1000.0,0.0,1121.8599853515625,1127.22998046875,6.482690214264672,7.779228257117605,0.08033021208912759,1.0086038239687938,0.10978416540995554,0.003455249682103473,0.0034901511940439124,-0.0012965380428529335,0.004786689236896846,0.0,0.01,-0.09563053906094776,-0.09563111840094361,0.019164955509924708,0.9996205555361554,0.003453938606740398,4073.4570743345666,-1296.5380428529336,5369.9951171875,0.0,4269.577569841243,-1100.2385790793887,-1100.4175473462576,1126129.5629214037,1120759.7467724832,0.004791228596837298,0.4791228596837298,0.003483802035557426,0.3483802035557426,1.0001626631444052,-6.451085567474365,-7.113090991973877,-6.782088279724121,1.0,[ 10.448649  179.68843    -1.759899    1.7223595  -1.7788194   1.       ]
2004-01-13,7,1.0,1000.0,1000.0,0.0,1127.22998046875,1121.219970703125,7.779228257117605,9.335073908541126,0.08215269764533342,1.005829381826018,0.11149009686893756,-0.006956383188033783,-0.006887508106964141,-0.001555845651423521,-0.00533166245554062,0.0,0.01,-0.10258692224898154,-0.10258448502950215,0.02190280629705681,0.9995663609387664,-0.006953366628558543,-7565.855417048521,-1555.845651423521,-6010.009765625,0.0,-7110.486975529211,-1100.4175473462576,-1100.4772099042113,1120119.4934932208,1126129.5629214037,-0.005336925364601558,-0.5336925364601558,-0.0018717161204929722,-0.18717161204929722,1.0000542181084786,-6.455471992492676,-7.056822776794434,-6.756147384643555,1.0,"[ 1.3277098e+01  1.7863474e+02  4.6254985e-02  1.1702003e+00
 -1.7338952e+00  1.0000000e+00]"
2004-01-14,8,1.0,1000.0,1000.0,0.0,1121.219970703125,1130.52001953125,9.335073908541126,7.468059126832902,0.08152717659053706,1.0006746584601947,0.10971811253512183,0.010059978907645496,0.010161594856207571,0.0018670147817082246,0.008294580074499347,0.0,0.01,-0.09252694334133604,-0.09252941368861492,0.024640657084188913,0.9995121692795467,0.010055071340887234,11167.063609833225,1867.0147817082245,9300.048828125,0.0,8199.511952428044,-1100.4772099042113,-1100.5368756969563,1129419.4826555531,1120119.4934932208,0.008302675934448117,0.8302675934448117,0.0064154195615653276,0.6415419561565328,1.0000542181084786,-6.492769718170166,-7.144423007965088,-6.818596363067627,1.0,"[ 9.8829594e+00  1.8026524e+02 -5.7366067e-01  1.4432652e-01
 -1.7805589e+00  1.0000000e+00]"
2004-01-15,9,1.0,1000.0,1000.0,0.0,1130.52001953125,1132.050048828125,7.468059126832902,8.249980788895755,0.08367264135818674,0.9980511661557167,0.10279938663995564,0.0005657491075928806,0.0005714637450433137,-0.0007819216620628531,0.0013533854071061668,0.0,0.01,-0.09196119423374316,-0.09196397122803746,0.02737850787132101,0.9994579805583369,0.0005654424605774617,748.1076348121469,-781.9216620628531,1530.029296875,0.0,429.4327521503326,-1100.5368756969563,-1100.5965447246674,1130949.4522834003,1129419.4826555531,0.0013546513508425123,0.13546513508425123,0.0077787615691831125,0.7778761569183112,1.0000542181084786,-6.523815155029297,-7.161508560180664,-6.8426618576049805,1.0,"[ 11.304453   180.5335       1.5525782   -0.37779117  -1.9627578
   1.        ]"
2004-01-16,10,1.0,1000.0,1000.0,0.0,1132.050048828125,1139.8299560546875,8.249980788895755,6.701819585486078,0.08124486329345108,0.9991661726677732,0.09953057849767075,0.0083363612503887,0.008420566919584545,0.001548161203409677,0.0068724057161748675,0.0,0.01,-0.08362483298335446,-0.0836325801597839,0.030116358658453114,0.9994037947749779,0.008331391068253546,9328.068429972176,1548.161203409677,7779.9072265625,0.0,6679.251009574979,-1100.5965447246674,-1100.6562169875206,1138729.2998377,1130949.4522834003,0.0068790409143327695,0.6879040914332769,0.014711312902613294,1.4711312902613294,1.0000542181084786,-6.533199787139893,-7.2148590087890625,-6.8740293979644775,1.0,"[ 8.4899750e+00  1.8189749e+02 -8.5344410e-01 -1.5588671e-01
 -2.0488391e+00  1.0000000e+00]"
